sale_entry_date,sales_Year,sales_quarter,Sales_period,sales_week0+,sales_week1+
12/30/2018,2019,1,1,0,1
1/6/2019,2019,1,1,1,2
1/13/2019,2019,1,1,2,3
1/20/2019,2019,1,1,3,4
1/27/2019,2019,1,2,4,5
2/3/2019,2019,1,2,5,6
2/10/2019,2019,1,2,6,7
2/17/2019,2019,1,2,7,8
2/24/2019,2019,1,3,8,9
3/3/2019,2019,1,3,9,10
3/10/2019,2019,1,3,10,11
3/17/2019,2019,1,3,11,12
3/24/2019,2019,1,4,12,13
3/31/2019,2019,2,4,13,14
4/7/2019,2019,2,4,14,15
4/14/2019,2019,2,4,15,16
4/21/2019,2019,2,5,16,17
4/28/2019,2019,2,5,17,18
5/5/2019,2019,2,5,18,19
5/12/2019,2019,2,5,19,20
5/19/2019,2019,2,6,20,21
5/26/2019,2019,2,6,21,22
6/2/2019,2019,2,6,22,23
6/9/2019,2019,2,6,23,24
6/16/2019,2019,2,7,24,25
6/23/2019,2019,2,7,25,26
6/30/2019,2019,3,7,26,27
7/7/2019,2019,3,7,27,28
7/14/2019,2019,3,8,28,29
7/21/2019,2019,3,8,29,30
7/28/2019,2019,3,8,30,31
8/4/2019,2019,3,8,31,32
8/11/2019,2019,3,9,32,33
8/18/2019,2019,3,9,33,34
8/25/2019,2019,3,9,34,35
9/1/2019,2019,3,9,35,36
9/8/2019,2019,3,10,36,37
9/15/2019,2019,3,10,37,38
9/22/2019,2019,3,10,38,39
9/29/2019,2019,4,10,39,40
10/6/2019,2019,4,11,40,41
10/13/2019,2019,4,11,41,42
10/20/2019,2019,4,11,42,43
10/27/2019,2019,4,11,43,44
11/3/2019,2019,4,12,44,45
11/10/2019,2019,4,12,45,46
11/17/2019,2019,4,12,46,47
11/24/2019,2019,4,12,47,48
12/1/2019,2019,4,13,48,49
12/8/2019,2019,4,13,49,50
12/15/2019,2019,4,13,50,51
12/22/2019,2019,4,13,51,52
12/29/2019,2020,1,1,0,1
1/5/2020,2020,1,1,1,2
1/12/2020,2020,1,1,2,3
1/19/2020,2020,1,1,3,4
1/26/2020,2020,1,2,4,5
2/2/2020,2020,1,2,5,6
2/9/2020,2020,1,2,6,7
2/16/2020,2020,1,2,7,8
2/23/2020,2020,1,3,8,9
3/1/2020,2020,1,3,9,10
3/8/2020,2020,1,3,10,11
3/15/2020,2020,1,3,11,12
3/22/2020,2020,1,4,12,13
3/29/2020,2020,2,4,13,14
4/5/2020,2020,2,4,14,15
4/12/2020,2020,2,4,15,16
4/19/2020,2020,2,5,16,17
4/26/2020,2020,2,5,17,18
5/3/2020,2020,2,5,18,19
5/10/2020,2020,2,5,19,20
5/17/2020,2020,2,6,20,21
5/24/2020,2020,2,6,21,22
5/31/2020,2020,2,6,22,23
6/7/2020,2020,2,6,23,24
6/14/2020,2020,2,7,24,25
6/21/2020,2020,2,7,25,26
6/28/2020,2020,3,7,26,27
7/5/2020,2020,3,7,27,28
7/12/2020,2020,3,8,28,29
7/19/2020,2020,3,8,29,30
7/26/2020,2020,3,8,30,31
8/2/2020,2020,3,8,31,32
8/9/2020,2020,3,9,32,33
8/16/2020,2020,3,9,33,34
8/23/2020,2020,3,9,34,35
8/30/2020,2020,3,9,35,36
9/6/2020,2020,3,10,36,37
9/13/2020,2020,3,10,37,38
9/20/2020,2020,3,10,38,39
9/27/2020,2020,4,10,39,40
10/4/2020,2020,4,11,40,41
10/11/2020,2020,4,11,41,42
10/18/2020,2020,4,11,42,43
10/25/2020,2020,4,11,43,44
11/1/2020,2020,4,12,44,45
11/8/2020,2020,4,12,45,46
11/15/2020,2020,4,12,46,47
11/22/2020,2020,4,12,47,48
11/29/2020,2020,4,13,48,49
12/6/2020,2020,4,13,49,50
12/13/2020,2020,4,13,50,51
12/20/2020,2020,4,13,51,52
