id,ITEM_CODE,EMP_ID,Quantity,sales_entry_date
1,PROD_001,EMP234,34,12/30/2018
2,PROD_002,EMP234,27,12/30/2018
3,PROD_003,EMP234,34,12/30/2018
4,PROD_004,EMP234,35,12/30/2018
5,PROD_005,EMP234,26,12/30/2018
6,PROD_006,EMP234,16,12/30/2018
7,PROD_007,EMP234,14,12/30/2018
8,PROD_008,EMP234,10,12/30/2018
9,ESP_001,EMP234,4,12/30/2018
10,ESP_002,EMP234,2,12/30/2018
11,ESP_003,EMP234,4,12/30/2018
12,ESP_004,EMP234,4,12/30/2018
13,ESP_005,EMP234,4,12/30/2018
14,ESP_006,EMP234,4,12/30/2018
15,ESP_007,EMP234,2,12/30/2018
16,ESP_008,EMP234,1,12/30/2018
17,PROD_001,EMP234,27,1/6/2019
18,PROD_002,EMP234,45,1/6/2019
19,PROD_003,EMP234,37,1/6/2019
20,PROD_004,EMP234,37,1/6/2019
21,PROD_005,EMP234,16,1/6/2019
22,PROD_006,EMP234,30,1/6/2019
23,PROD_007,EMP234,20,1/6/2019
24,PROD_008,EMP234,10,1/6/2019
25,ESP_001,EMP234,4,1/6/2019
26,ESP_002,EMP234,4,1/6/2019
27,ESP_003,EMP234,5,1/6/2019
28,ESP_004,EMP234,4,1/6/2019
29,ESP_005,EMP234,3,1/6/2019
30,ESP_006,EMP234,8,1/6/2019
31,ESP_007,EMP234,2,1/6/2019
32,ESP_008,EMP234,1,1/6/2019
33,PROD_001,EMP234,28,1/13/2019
34,PROD_002,EMP234,40,1/13/2019
35,PROD_003,EMP234,29,1/13/2019
36,PROD_004,EMP234,31,1/13/2019
37,PROD_005,EMP234,23,1/13/2019
38,PROD_006,EMP234,25,1/13/2019
39,PROD_007,EMP234,15,1/13/2019
40,PROD_008,EMP234,10,1/13/2019
41,ESP_001,EMP234,4,1/13/2019
42,ESP_002,EMP234,4,1/13/2019
43,ESP_003,EMP234,4,1/13/2019
44,ESP_004,EMP234,4,1/13/2019
45,ESP_005,EMP234,4,1/13/2019
46,ESP_006,EMP234,7,1/13/2019
47,ESP_007,EMP234,2,1/13/2019
48,ESP_008,EMP234,1,1/13/2019
49,PROD_001,EMP234,36,1/20/2019
50,PROD_002,EMP234,34,1/20/2019
51,PROD_003,EMP234,42,1/20/2019
52,PROD_004,EMP234,23,1/20/2019
53,PROD_005,EMP234,19,1/20/2019
54,PROD_006,EMP234,11,1/20/2019
55,PROD_007,EMP234,11,1/20/2019
56,PROD_008,EMP234,11,1/20/2019
57,ESP_001,EMP234,6,1/20/2019
58,ESP_002,EMP234,4,1/20/2019
59,ESP_003,EMP234,6,1/20/2019
60,ESP_004,EMP234,3,1/20/2019
61,ESP_005,EMP234,3,1/20/2019
62,ESP_006,EMP234,3,1/20/2019
63,ESP_007,EMP234,2,1/20/2019
64,ESP_008,EMP234,2,1/20/2019
65,PROD_001,EMP234,50,1/27/2019
66,PROD_002,EMP234,31,1/27/2019
67,PROD_003,EMP234,31,1/27/2019
68,PROD_004,EMP234,37,1/27/2019
69,PROD_005,EMP234,29,1/27/2019
70,PROD_006,EMP234,23,1/27/2019
71,PROD_007,EMP234,10,1/27/2019
72,PROD_008,EMP234,11,1/27/2019
73,ESP_001,EMP234,10,1/27/2019
74,ESP_002,EMP234,4,1/27/2019
75,ESP_003,EMP234,5,1/27/2019
76,ESP_004,EMP234,5,1/27/2019
77,ESP_005,EMP234,5,1/27/2019
78,ESP_006,EMP234,7,1/27/2019
79,ESP_007,EMP234,1,1/27/2019
80,ESP_008,EMP234,2,1/27/2019
81,PROD_001,EMP234,28,2/3/2019
82,PROD_002,EMP234,35,2/3/2019
83,PROD_003,EMP234,36,2/3/2019
84,PROD_004,EMP234,42,2/3/2019
85,PROD_005,EMP234,21,2/3/2019
86,PROD_006,EMP234,19,2/3/2019
87,PROD_007,EMP234,20,2/3/2019
88,PROD_008,EMP234,11,2/3/2019
89,ESP_001,EMP234,5,2/3/2019
90,ESP_002,EMP234,3,2/3/2019
91,ESP_003,EMP234,5,2/3/2019
92,ESP_004,EMP234,5,2/3/2019
93,ESP_005,EMP234,3,2/3/2019
94,ESP_006,EMP234,5,2/3/2019
95,ESP_007,EMP234,3,2/3/2019
96,ESP_008,EMP234,2,2/3/2019
97,PROD_001,EMP234,31,2/10/2019
98,PROD_002,EMP234,37,2/10/2019
99,PROD_003,EMP234,36,2/10/2019
100,PROD_004,EMP234,38,2/10/2019
101,PROD_005,EMP234,16,2/10/2019
102,PROD_006,EMP234,27,2/10/2019
103,PROD_007,EMP234,18,2/10/2019
104,PROD_008,EMP234,15,2/10/2019
105,ESP_001,EMP234,4,2/10/2019
106,ESP_002,EMP234,3,2/10/2019
107,ESP_003,EMP234,5,2/10/2019
108,ESP_004,EMP234,4,2/10/2019
109,ESP_005,EMP234,2,2/10/2019
110,ESP_006,EMP234,7,2/10/2019
111,ESP_007,EMP234,2,2/10/2019
112,ESP_008,EMP234,2,2/10/2019
113,PROD_001,EMP234,33,2/17/2019
114,PROD_002,EMP234,40,2/17/2019
115,PROD_003,EMP234,43,2/17/2019
116,PROD_004,EMP234,34,2/17/2019
117,PROD_005,EMP234,14,2/17/2019
118,PROD_006,EMP234,15,2/17/2019
119,PROD_007,EMP234,12,2/17/2019
120,PROD_008,EMP234,14,2/17/2019
121,ESP_001,EMP234,4,2/17/2019
122,ESP_002,EMP234,3,2/17/2019
123,ESP_003,EMP234,6,2/17/2019
124,ESP_004,EMP234,3,2/17/2019
125,ESP_005,EMP234,2,2/17/2019
126,ESP_006,EMP234,4,2/17/2019
127,ESP_007,EMP234,1,2/17/2019
128,ESP_008,EMP234,2,2/17/2019
